Test Case ID,Module,Subtask,Feature,Test Type,Description,Pre-condition,Test Steps,Expected Result,Priority,Status
TC_VALID_11,Validations,Validations,Verify password field does not exceed max length limit of HTML standards,Positive,Verify password field does not exceed max length limit of HTML standards,The OrangeHRM login page is loaded in the browser.,1. Perform the actions described in the test title,- The maxlen should be null,Medium,PASSED
TC_VALID_12,Validations,Validations,Verify error message font weight is responsive,Negative,Verify error message font weight is responsive,The OrangeHRM login page is loaded in the browser.,1. Click the Login button without entering any credentials,- The weight should be present,Medium,PASSED
TC_VALID_13,Validations,Validations,Verify input error borders are styled on required error trigger,Negative,Verify input error borders are styled on required error trigger,The OrangeHRM login page is loaded in the browser.,1. Click the Login button without entering any credentials,- The border should be present,Medium,PASSED
TC_VALID_14,Validations,Validations,Verify form submits only when all validation requirements are met,Positive,Verify form submits only when all validation requirements are met,The OrangeHRM login page is loaded in the browser.,1. Perform the actions described in the test title,- The form element should be present,Medium,PASSED
TC_VALID_15,Validations,Validations,Verify username input case-sensitivity,Positive,Verify username input case-sensitivity,The OrangeHRM login page is loaded in the browser.,"1. Enter the username and password, then click the Login button",- The error text || 'invalid credentials' should be present,Medium,PASSED
TC_VALID_16,Validations,Validations,Verify password input case-sensitivity,Positive,Verify password input case-sensitivity,The OrangeHRM login page is loaded in the browser.,"1. Enter the username and password, then click the Login button",- The error text should equal 'Invalid credentials',Medium,PASSED
TC_VALID_17,Validations,Validations,Verify error alert has company icon or style container,Negative,Verify error alert has company icon or style container,The OrangeHRM login page is loaded in the browser.,"1. Enter the username and password, then click the Login button",- The error alert message should be visible,Medium,PASSED
TC_VALID_18,Validations,Validations,Verify login page form submission tag exists,Positive,Verify login page form submission tag exists,The OrangeHRM login page is loaded in the browser.,1. Perform the actions described in the test title,- The oxd form element should be visible,Medium,PASSED
TC_VALID_19,Validations,Validations,Verify login button is of type submit,Positive,Verify login button is of type submit,The OrangeHRM login page is loaded in the browser.,1. Perform the actions described in the test title,- The type should equal 'submit',Medium,PASSED
TC_VALID_20,Validations,Validations,Verify field label tags are capitalized,Positive,Verify field label tags are capitalized,The OrangeHRM login page is loaded in the browser.,1. Perform the actions described in the test title,- The 'Username' element should be visible,Medium,PASSED
TC_VALID_21,Validations,Validations,Verify password input field has password autocomplete settings,Positive,Verify password input field has password autocomplete settings,The OrangeHRM login page is loaded in the browser.,1. Perform the actions described in the test title,- The type should equal 'password',Medium,PASSED
TC_VALID_22,Validations,Validations,Verify spacing styles around form input groupings,Positive,Verify spacing styles around form input groupings,The OrangeHRM login page is loaded in the browser.,1. Perform the actions described in the test title,- The group should be visible,Medium,PASSED
TC_VALID_23,Validations,Validations,Verify login button displays hover class transitions,Positive,Verify login button displays hover class transitions,The OrangeHRM login page is loaded in the browser.,1. Perform the actions described in the test title,- The cursor should equal 'pointer',Medium,PASSED
TC_VALID_24,Validations,Validations,Verify HTML lang details exist on login viewport,Positive,Verify HTML lang details exist on login viewport,The OrangeHRM login page is loaded in the browser.,1. Perform the actions described in the test title,- The lang === null || lang === 'en' should equal 'true',Medium,PASSED
TC_VALID_25,Validations,Validations,Verify validation on long username does not crash backend,Positive,Verify validation on long username does not crash backend,The OrangeHRM login page is loaded in the browser.,"1. Enter the username and password, then click the Login button",- The error text should equal 'Invalid credentials',Medium,PASSED
TC_VALID_26,Validations,Validations,Verify login fails safely with an XSS script payload in the password field,Negative,Verify login fails safely with an XSS script payload in the password field,The OrangeHRM login page is loaded in the browser.,"1. Enter the username and password, then click the Login button","- The error text should equal 'Invalid credentials'
- The dialog fired should equal 'false'",Medium,PASSED
TC_VALID_27,Validations,Validations,Verify login fails with unicode and emoji characters in the username,Negative,Verify login fails with unicode and emoji characters in the username,The OrangeHRM login page is loaded in the browser.,"1. Enter the username and password, then click the Login button","- The ['invalid credentials', 'unexpected error occurred'] should contain 'errorText'",Medium,PASSED
TC_VALID_28,Validations,Validations,Verify login fails when username contains only control/whitespace characters,Positive,Verify login fails when username contains only control/whitespace characters,The OrangeHRM login page is loaded in the browser.,"1. Enter the username and password, then click the Login button",- The error text || 'invalid credentials' should be present,Medium,PASSED
TC_VALID_29,Validations,Validations,Verify login fails with an extremely long password without a server error,Negative,Verify login fails with an extremely long password without a server error,The OrangeHRM login page is loaded in the browser.,"1. Enter the username and password, then click the Login button",- The error text should equal 'Invalid credentials',Medium,PASSED
